run,segment,pixel,accepted,chi2r,cen1,cen1_err_pct,cen2,cen2_err_pct,attempt,window
8863,0,1039,1,1.06,158.9,1.3,195.3,3.9,"fill-in 1/2 found, widths: sig1=8,sig2=8",recipe window
8863,0,1043,0,,,,,,,
8864,0,1032,0,,,,,,,
8864,0,1033,0,,,,,,,
8865,0,1078,0,,,,,,,
8865,0,1079,0,,,,,,,
8865,0,1105,0,,,,,,,
8865,0,1108,0,,,,,,,
9469,0,66,0,,,,,,,
9469,0,1051,1,1.19,157.6,5.5,193.3,2.7,predicted-start,recipe window
9469,0,1099,0,,,,,,,
9469,0,1100,0,,,,,,,
9469,1,17,0,,,,,,,
9469,1,1076,0,,,,,,,
9469,1,1080,0,,,,,,,
9469,1,1109,1,0.85,164.0,5.6,184.1,2.7,"prominence=10, widths: measured",recipe window
9469,1,1110,0,,,,,,,
9469,1,1118,0,,,,,,,
9469,2,49,0,,,,,,,
9469,2,87,0,,,,,,,
9469,2,1043,0,,,,,,,
9469,2,1044,0,,,,,,,
9469,2,1074,0,,,,,,,
9469,2,1075,0,,,,,,,
9469,2,1078,0,,,,,,,
9469,2,1086,0,,,,,,,
9469,3,1050,0,,,,,,,
9469,3,1053,0,,,,,,,
9469,3,1062,0,,,,,,,
9469,3,1094,0,,,,,,,
9469,3,1095,0,,,,,,,
9469,4,11,0,,,,,,,
9469,4,50,0,,,,,,,
9469,4,53,0,,,,,,,
9469,4,1078,0,,,,,,,
9469,4,1117,0,,,,,,,
9469,5,38,0,,,,,,,
9469,5,77,0,,,,,,,
9469,5,85,0,,,,,,,
9469,5,1037,0,,,,,,,
9469,5,1038,0,,,,,,,
9469,5,1041,0,,,,,,,
9469,5,1072,0,,,,,,,
9469,5,1076,0,,,,,,,
9469,5,1084,0,,,,,,,
9469,6,76,0,,,,,,,
9469,6,1010,0,,,,,,,
9469,6,1013,0,,,,,,,
9469,6,1037,0,,,,,,,
9469,6,1048,0,,,,,,,
9469,7,61,0,,,,,,,
9469,7,64,0,,,,,,,
9469,7,1019,0,,,,,,,
9469,7,1020,0,,,,,,,
9469,7,1023,0,,,,,,,
9469,7,1029,0,,,,,,,
9469,7,1032,0,,,,,,,
9469,7,1062,0,,,,,,,
9469,8,1039,0,,,,,,,
9469,8,1042,0,,,,,,,
9469,8,1085,0,,,,,,,
9469,9,1088,0,,,,,,,
9469,9,1101,0,,,,,,,
9469,10,59,0,,,,,,,
9469,10,1018,0,,,,,,,
9469,10,1021,0,,,,,,,
9469,10,1022,0,,,,,,,
9469,10,1028,0,,,,,,,
9469,10,1063,0,,,,,,,
9469,10,1064,0,,,,,,,
9469,11,95,0,,,,,,,
9469,11,1017,0,,,,,,,
9469,11,1027,0,,,,,,,
9469,12,87,0,,,,,,,
9469,12,1040,0,,,,,,,
9469,13,1111,0,,,,,,,
9469,15,49,0,,,,,,,
9469,15,1075,0,,,,,,,
9469,15,1107,0,,,,,,,
9469,15,1108,0,,,,,,,
9469,16,27,0,,,,,,,
9469,16,31,0,,,,,,,
9469,16,1086,0,,,,,,,
9469,16,1087,0,,,,,,,
9469,16,1090,0,,,,,,,
