run,segment,pixel,change,old,new,under_check_row
8625,0,2053,added,,Bi-207-8890,
8625,0,2054,added,,Bi-207-8890,
8625,0,2062,added,,Cd-109-9178,
8625,0,2063,added,,Cd-109-9178,
8625,0,2066,added,,Bi-207-8890,
8625,0,2067,added,,Bi-207-8890,
8625,0,2075,added,,Cd-109-9178,
8625,0,2076,added,,Cd-109-9178,
8625,0,2078,added,,Bi-207-8890,
8625,0,2079,added,,Bi-207-8890,
8625,0,2095,added,,Bi-207-9176,
8625,0,2096,added,,Bi-207-9176,
8625,0,2098,added,,Bi-207-9177,
8625,0,2099,added,,Bi-207-9177,
8625,0,2102,added,,Bi-207-8779,
8625,0,2105,added,,Bi-207-9176,
8625,0,2108,added,,Bi-207-9177,
8625,0,2109,added,,Bi-207-9177,
8625,0,2111,added,,Bi-207-8779,
8625,0,2112,added,,Bi-207-8779,
8626,0,97,added,,Bi-207-9177,
8626,0,113,added,,Cd-109-9178,
8626,0,116,added,,Bi-207-8890,
8626,0,121,added,,Cd-109-9178,
8626,0,2009,added,,Cd-109-9178,
8626,0,2010,added,,Cd-109-9178,
8626,0,2012,added,,Bi-207-8890,
8626,0,2013,added,,Bi-207-8890,
8626,0,2018,added,,Cd-109-9178,
8626,0,2019,added,,Cd-109-9178,
8626,0,2021,added,,Bi-207-8890,
8626,0,2022,added,,Bi-207-8890,
8626,0,2026,added,,Bi-207-9176,
8626,0,2029,added,,Bi-207-9177,
8626,0,2030,added,,Bi-207-9177,
8626,0,2033,added,,Bi-207-8779,
8626,0,2036,added,,Bi-207-9176,
8626,0,2037,added,,Bi-207-9176,
8626,0,2040,added,,Bi-207-9177,
8626,0,2041,added,,Bi-207-9177,
8626,0,2043,added,,Bi-207-8779,
8626,0,2044,added,,Bi-207-8779,
8626,0,2048,added,,Bi-207-9176,
8626,0,2055,added,,Bi-207-8779,
8626,0,2056,added,,Bi-207-8779,
8627,0,83,added,,Bi-207-9176,
8627,0,97,added,,Bi-207-9177,
8627,0,105,added,,Cd-109-9178,
8627,0,106,added,,Cd-109-9178,
8627,0,109,added,,Bi-207-8890,
8627,0,113,added,,Cd-109-9178,
8627,0,114,added,,Cd-109-9178,
8627,0,116,added,,Bi-207-8890,
8627,0,117,added,,Bi-207-8890,
8627,0,121,added,,Cd-109-9178,
8627,0,2012,added,,Bi-207-9177,
8627,0,2017,added,,Bi-207-9176,
8627,0,2020,added,,Bi-207-9177,
8627,0,2021,added,,Bi-207-9177,
8627,0,2023,added,,Bi-207-8779,
8627,0,2026,added,,Bi-207-9176,
8627,0,2027,added,,Bi-207-9176,
8627,0,2029,added,,Bi-207-9177,
8627,0,2030,added,,Bi-207-9177,
8627,0,2032,added,,Bi-207-8779,
8627,0,2033,added,,Bi-207-8779,
