run,segment,field,detector,slot,source,pred_x,pred_y,peak_pixel,snap_dist,peak_excess,peak_counts,n_support,n_pixels,pixels,flag
9402,39,137/137A-exb2000,lower,R2C1,Sn-113-9183,-0.83,5.19,1061,0.08,9.4,27234,3,5,1048;1060;1061;1073;1074,
9402,39,137/137A-exb2000,lower,R2C2,Cd-109-9178,-2.33,-2.6,1078,0.08,6.2,13184,5,5,1064;1065;1066;1077;1078,
9402,39,137/137A-exb2000,lower,R2C3,Ce-139-9179,-2.33,-7.8,1081,0.08,7.2,5522,3,3,1068;1069;1081,
9402,40,137/137A-exb2000,upper,R1C1,Bi-207-8890,3.66,6.09,95,0.09,11.6,5178,6,4,95;96;104;105,
9402,40,137/137A-exb2000,upper,R1C2,Bi-207-9177,3.66,-0.84,99,0.09,4.5,10934,1,6,89;98;99;100;108;109,CHECK
9402,40,137/137A-exb2000,upper,R1C3,Bi-207-9176,3.66,-7.77,103,0.09,0.5,732,0,4,92;102;103;112,CHECK
9402,40,137/137A-exb2000,upper,R2C1,Sn-113-9183,-0.84,5.22,61,0.09,2.5,6768,3,4,48;49;60;61,
9402,40,137/137A-exb2000,upper,R2C2,Cd-109-9178,-2.34,-0.84,52,0.09,11.2,47198,5,5,41;52;53;64;65,
9402,40,137/137A-exb2000,upper,R2C3,Ce-139-9179,-0.84,-8.63,69,0.09,0.1,23,0,4,56;68;69;81,CHECK
9402,40,137/137A-exb2000,lower,R1C1,Bi-207-8890,5.74,4.96,1017,0.54,21.0,16948,5,4,1009;1017;1018;1027,
9402,40,137/137A-exb2000,lower,R1C2,Bi-207-9177,5.14,-1.62,1021,0.16,11.5,22326,7,6,1012;1013;1021;1022;1030;1031,
9402,40,137/137A-exb2000,lower,R1C3,Bi-207-9176,3.64,-7.68,1034,0.16,2.3,3647,1,5,1024;1033;1034;1044;1045,CHECK
9402,40,137/137A-exb2000,lower,R2C1,Sn-113-9183,-0.86,5.31,1061,0.16,7.1,20684,3,5,1049;1061;1062;1073;1074,
9402,40,137/137A-exb2000,lower,R2C2,Cd-109-9178,-2.36,-2.48,1078,0.16,8.6,18292,5,4,1065;1066;1077;1078,
9402,40,137/137A-exb2000,lower,R2C3,Ce-139-9179,-2.36,-7.68,1081,0.16,0.7,534,1,4,1056;1068;1069;1081,CHECK
9402,41,137/137A-exb2000,upper,R1C3,Bi-207-9176,3.67,-9.54,,,,,0,0,,CHECK
9402,41,137/137A-exb2000,upper,R2C3,Ce-139-9179,-0.83,-10.41,,,,,0,0,,CHECK
9402,41,137/137A-exb2000,upper,R1C1,Bi-207-8890,3.67,4.31,96,0.08,13.5,9221,7,5,95;96;97;105;106,
9402,41,137/137A-exb2000,upper,R1C2,Bi-207-9177,3.67,-2.62,100,0.08,2.5,13587,5,7,89;90;99;100;101;109;110,
9402,41,137/137A-exb2000,upper,R2C1,Sn-113-9183,-0.83,3.45,62,0.08,1.7,4810,4,5,49;50;61;62;63,CHECK
9402,41,137/137A-exb2000,upper,R2C2,Cd-109-9178,-2.33,-2.62,53,0.08,19.5,45962,4,5,42;53;54;65;66,
9402,41,137/137A-exb2000,lower,R1C3,Bi-207-9176,3.61,-9.32,,,,,0,0,,CHECK
9402,41,137/137A-exb2000,lower,R2C3,Ce-139-9179,-2.39,-9.32,,,,,0,0,,CHECK
9402,41,137/137A-exb2000,lower,R1C1,Bi-207-8890,5.71,3.32,1018,0.48,68.1,25575,7,6,1009;1010;1017;1018;1019;1028,
9402,41,137/137A-exb2000,lower,R1C2,Bi-207-9177,5.11,-3.26,1022,0.24,10.3,26304,7,7,1013;1014;1021;1022;1023;1031;1032,
9402,41,137/137A-exb2000,lower,R2C1,Sn-113-9183,-0.89,3.67,1062,0.24,9.7,25877,3,7,1049;1050;1061;1062;1063;1074;1075,
9402,41,137/137A-exb2000,lower,R2C2,Cd-109-9178,-2.39,-4.13,1079,0.24,5.5,13017,4,4,1066;1067;1078;1079,
9402,42,137/137A-exb2000,upper,R1C1,Bi-207-8890,5.14,10.33,,,,,0,0,,CHECK
9402,42,137/137A-exb2000,upper,R1C2,Bi-207-9177,5.14,3.4,106,0.13,12.5,8671,5,5,97;106;107;114;115,
9402,42,137/137A-exb2000,upper,R1C3,Bi-207-9176,5.14,-3.53,110,0.13,2.8,12258,3,4,110;111;118;119,
9402,42,137/137A-exb2000,upper,R2C1,Sn-113-9183,0.64,9.46,71,0.13,0.6,159,0,4,59;71;72;83,CHECK
9402,42,137/137A-exb2000,upper,R2C2,Cd-109-9178,-0.86,3.4,62,0.13,17.3,47781,4,4,50;62;63;75,
9402,42,137/137A-exb2000,upper,R2C3,Ce-139-9179,0.64,-4.39,79,0.13,1.4,2971,1,5,66;67;78;79;80,CHECK
9402,42,137/137A-exb2000,lower,R1C1,Bi-207-8890,6.56,8.65,,,,,0,0,,CHECK
9402,42,137/137A-exb2000,lower,R1C2,Bi-207-9177,5.96,2.07,1010,0.95,79.5,17690,5,4,1010;1011;1018;1019,CHECK
9402,42,137/137A-exb2000,lower,R1C3,Bi-207-9176,4.46,-3.99,1022,0.95,9.1,23144,6,4,1013;1014;1022;1023,CHECK
9402,42,137/137A-exb2000,lower,R2C1,Sn-113-9183,-0.04,9.0,1059,0.79,41.6,16114,2,3,1047;1059;1060,
9402,42,137/137A-exb2000,lower,R2C2,Cd-109-9178,-1.54,1.2,1063,0.95,34.4,98417,7,6,1050;1051;1062;1063;1075;1076,CHECK
9402,42,137/137A-exb2000,lower,R2C3,Ce-139-9179,-1.54,-3.99,1066,0.95,2.7,7252,3,3,1054;1066;1067,CHECK
9402,43,137/137A-exb2000,upper,R1C1,Bi-207-8890,5.14,8.64,,,,,0,0,,CHECK
9402,43,137/137A-exb2000,upper,R1C2,Bi-207-9177,5.14,1.71,107,0.11,17.7,12149,7,7,97;98;106;107;108;115;116,
9402,43,137/137A-exb2000,upper,R1C3,Bi-207-9176,5.14,-5.22,111,0.11,1.6,6740,2,5,110;111;112;119;120,CHECK
9402,43,137/137A-exb2000,upper,R2C1,Sn-113-9183,0.64,7.77,72,0.11,1.0,2357,1,4,59;60;71;72,CHECK
9402,43,137/137A-exb2000,upper,R2C2,Cd-109-9178,-0.86,1.71,63,0.11,18.9,54502,6,7,50;51;62;63;64;75;76,
9402,43,137/137A-exb2000,upper,R2C3,Ce-139-9179,0.64,-6.09,80,0.11,1.4,2585,2,4,67;68;79;80,CHECK
9402,43,137/137A-exb2000,lower,R1C1,Bi-207-8890,7.28,7.33,,,,,0,0,,CHECK
9402,43,137/137A-exb2000,lower,R1C2,Bi-207-9177,6.68,0.75,1011,0.14,96.1,12635,6,5,1004;1010;1011;1012;1020,
9402,43,137/137A-exb2000,lower,R1C3,Bi-207-9176,5.18,-5.32,1023,0.14,9.4,25419,5,5,1014;1015;1022;1023;1024,
