run_number,board_channel,pixel_number
8628,0,51
8628,1,63
8628,2,75
8628,3,50
8628,4,62
8628,5,64
8628,6,40
8628,7,58
8628,8,66
8628,9,53
8628,10,41
8628,11,65
8628,12,76
8628,13,89
8628,14,78
8628,15,88
8628,16,87
8628,17,77
8628,18,30
8628,19,39
8628,20,28
8628,21,20
8628,22,29
8628,23,38
8628,24,58
8628,25,42
8628,26,32
8628,27,67
8628,28,43
8628,29,31
8628,30,80
8628,31,90
8628,32,100
8628,33,91
8628,34,79
8628,35,101
8628,36,108
8628,37,98
8628,38,107
8628,39,99
8628,40,106
8628,41,96
8628,42,85
8628,43,97
8628,44,74
8628,45,86
8628,46,48
8628,47,37
8628,48,26
8628,49,61
8628,50,49
8628,51,27
8628,52,19
8628,53,10
8628,54,17
8628,55,11
8628,56,9
8628,57,18
8628,58,44
8628,59,33
8628,60,22
8628,61,56
8628,62,69
8628,63,23
8628,64,55
8628,65,92
8628,66,81
8628,67,68
8628,68,109
8628,69,118
8628,70,102
8628,71,117
8628,72,110
8628,73,111
8628,74,95
8628,75,116
8628,76,84
8628,77,105
8628,78,115
8628,79,94
8628,80,12
8628,81,21
8628,82,4
8628,83,13
8628,84,72
8628,85,47
8628,86,73
8628,87,60
8628,88,59
8628,89,36
8628,90,15
8628,91,14
8628,92,45
8628,93,24
8628,94,7
8628,95,34
8628,96,126
8628,97,112
8628,98,127
8628,99,119
8628,100,103
8628,101,120
8628,102,71
8628,103,114
8628,104,113
8628,105,83
8628,106,104
8628,107,121
8628,108,35
8628,109,25
8628,110,54
8628,111,52
8628,112,0
8628,113,0
8628,114,2
8628,115,3
8628,116,6
8628,117,5
8628,118,0
8628,119,0
8628,0,0
8628,0,0
8628,0,0
8628,0,0
8628,0,0
8628,0,0
8628,0,0
8628,0,0
8628,128,1051
8628,129,1063
8628,130,1075
8628,131,1050
8628,132,1062
8628,133,1064
8628,134,1040
8628,135,1052
8628,136,1066
8628,137,1053
8628,138,1041
8628,139,1065
8628,140,1076
8628,141,1089
8628,142,1078
8628,143,1088
8628,144,1087
8628,145,1077
8628,146,1030
8628,147,1039
8628,148,1028
8628,149,1020
8628,150,1029
8628,151,1038
8628,152,1054
8628,153,1042
8628,154,1032
8628,155,1067
8628,156,1043
8628,157,1031
8628,158,1080
8628,159,1090
8628,160,1100
8628,161,1091
8628,162,1079
8628,163,1101
8628,164,1108
8628,165,1098
8628,166,1107
8628,167,1099
8628,168,1106
8628,169,1096
8628,170,1085
8628,171,1097
8628,172,1074
8628,173,1086
8628,174,1048
8628,175,1037
8628,176,1026
8628,177,1061
8628,178,1049
8628,179,1027
8628,180,1019
8628,181,1010
8628,182,1017
8628,183,1011
8628,184,1009
8628,185,1018
8628,186,1044
8628,187,1033
8628,188,1022
8628,189,1056
8628,190,1069
8628,191,1023
8628,192,1055
8628,193,1092
8628,194,1081
8628,195,1068
8628,196,1109
8628,197,1118
8628,198,1102
8628,199,1117
8628,200,1110
8628,201,1111
8628,202,1095
8628,203,1116
8628,204,1084
8628,205,1105
8628,206,1115
8628,207,1094
8628,208,1012
8628,209,1021
8628,210,1004
8628,211,1013
8628,212,1072
8628,213,1047
8628,214,1073
8628,215,1060
8628,216,1059
8628,217,1036
8628,218,1014
8628,219,1112
8628,220,1114
8628,221,58
8628,222,58
8628,223,0
8628,224,58
8628,225,58
8628,226,58
8628,227,0
8628,228,0
8628,229,58
8628,230,0
8628,231,58
8628,0,0
8628,0,0
8628,0,0
8628,0,0
8628,0,0
8628,0,0
8628,0,0
8628,0,0
8628,0,0
8628,0,0
8628,0,0
8628,0,0
8628,0,0
8628,0,0
8628,0,0
8628,0,0
8628,0,0
8628,0,0
8628,0,0
