run,detector,slot,source,pred_x,pred_y,peak_pixel,snap_dist,n_pixels,pixels,flag
8646,lower,R1C2,Cd-109-9178,-2.24,1.06,1076,0.19,7,1063;1064;1075;1076;1077;1087;1088,
8646,lower,R1C3,Bi-207-8890,-2.32,-5.38,1079,1.05,7,1066;1067;1078;1079;1080;1090;1091,
8646,lower,R2C1,Bi-207-9176,-7.05,4.94,1105,0.4,5,1095;1096;1105;1106;1114,
8646,lower,R2C2,Bi-207-9177,-7.07,-1.81,1109,0.33,4,1108;1109;1117;1118,
8646,lower,R2C3,Bi-207-8779,-7.01,-8.21,1112,1.31,4,1101;1102;1111;1112,
8647,upper,R1C2,Cd-109-9178,-0.6,2.1,63,0.4,7,50;51;62;63;64;75;76,
8647,upper,R1C3,Bi-207-8890,0.54,-3.93,66,1.37,4,66;67;78;79,
8647,upper,R2C1,Bi-207-9176,-6.21,5.5,17,0.62,4,17;18;26;27,
8647,upper,R2C2,Bi-207-9177,-5.33,-0.65,30,0.23,7,20;21;29;30;31;40;41,
8647,upper,R2C3,Bi-207-8779,-3.27,-5.27,43,0.49,5,32;42;43;54;55,
8647,lower,R1C2,Cd-109-9178,-0.32,1.48,1063,0.5,4,1050;1051;1063;1064,
8647,lower,R1C3,Bi-207-8890,-0.41,-4.95,1054,1.31,4,1054;1055;1066;1067,
8647,lower,R2C1,Bi-207-9176,-5.14,5.36,1096,1.04,4,1085;1095;1096;1105,
8647,lower,R2C2,Bi-207-9177,-5.15,-1.39,1099,0.53,5,1088;1089;1099;1100;1109,
8647,lower,R2C3,Bi-207-8779,-5.09,-7.79,1102,1.73,4,1091;1092;1101;1102,
8648,upper,R1C2,Cd-109-9178,2.04,2.34,87,0.64,5,75;76;86;87;97,
8648,upper,R1C3,Bi-207-8890,3.17,-3.69,90,0.95,5,78;79;90;91;101,
8648,upper,R2C1,Bi-207-9176,-3.57,5.74,37,0.57,7,26;27;36;37;38;48;49,
8648,upper,R2C2,Bi-207-9177,-2.7,-0.41,40,1.13,4,40;41;51;52,
8648,upper,R2C3,Bi-207-8779,-0.64,-5.03,80,1.73,4,68;80;81;92,
8648,lower,R1C2,Cd-109-9178,2.24,1.75,1039,0.02,7,1028;1029;1038;1039;1040;1050;1051,
8648,lower,R1C3,Bi-207-8890,2.15,-4.69,1043,0.51,4,1032;1042;1043;1054,
8648,lower,R2C1,Bi-207-9176,-2.58,5.63,1085,1.24,4,1073;1074;1085;1086,
8648,lower,R2C2,Bi-207-9177,-2.6,-1.13,1077,0.43,4,1077;1078;1088;1089,
8648,lower,R2C3,Bi-207-8779,-2.53,-7.53,1092,1.36,4,1080;1081;1091;1092,
8649,upper,R1C2,Cd-109-9178,4.28,2.49,97,0.54,6,87;96;97;98;106;107,
8649,upper,R1C3,Bi-207-8890,5.42,-3.53,100,1.91,5,90;100;101;109;110,CHECK
8649,upper,R2C1,Bi-207-9176,-1.33,5.9,48,0.93,4,48;49;60;61,
8649,upper,R2C2,Bi-207-9177,-0.46,-0.25,64,0.39,5,51;52;64;65;77,
8649,upper,R2C3,Bi-207-8779,1.6,-4.87,78,2.43,3,66;78;79,CHECK
8649,lower,R1C2,Cd-109-9178,4.87,1.66,1019,0.39,5,1018;1019;1020;1028;1029,
8649,lower,R1C3,Bi-207-8890,4.78,-4.78,1032,1.13,4,1022;1023;1032;1033,
8649,lower,R2C1,Bi-207-9176,0.05,5.54,1061,0.87,6,1049;1060;1061;1062;1073;1074,
8649,lower,R2C2,Bi-207-9177,0.03,-1.21,1065,0.94,6,1052;1053;1064;1065;1077;1078,
8649,lower,R2C3,Bi-207-8779,0.1,-7.61,1068,1.09,4,1056;1068;1069;1081,
8650,upper,R1C2,Cd-109-9178,6.16,2.39,115,0.63,4,106;107;115;116,
8650,upper,R1C3,Bi-207-8890,7.29,-3.63,110,2.05,4,109;110;118;119,CHECK
8650,upper,R2C1,Bi-207-9176,0.55,5.79,73,0.34,5,61;73;74;84;85,
8650,upper,R2C2,Bi-207-9177,1.42,-0.35,77,0.85,5,76;77;78;88;89,
8650,upper,R2C3,Bi-207-8779,3.48,-4.98,90,1.95,4,90;91;100;101,CHECK
8650,lower,R1C2,Cd-109-9178,6.58,0.77,1011,0.2,6,1004;1010;1011;1012;1019;1020,
8650,lower,R1C3,Bi-207-8890,6.49,-5.67,1023,1.33,5,1014;1022;1023;1032;1033,
8650,lower,R2C1,Bi-207-9176,1.76,4.65,1049,1.06,4,1037;1038;1048;1049,
8650,lower,R2C2,Bi-207-9177,1.74,-2.1,1041,0.63,4,1040;1041;1052;1053,
8650,lower,R2C3,Bi-207-8779,1.8,-8.51,1056,1.27,4,1044;1055;1056;1068,
8651,upper,R1C2,Cd-109-9178,-0.88,1.19,51,1.41,5,50;51;52;63;64,
8651,upper,R1C3,Bi-207-8890,0.26,-4.83,79,0.7,5,67;79;80;90;91,
8651,upper,R2C1,Bi-207-9176,-6.49,4.6,28,2.35,5,18;19;28;29;39,CHECK
8651,upper,R2C2,Bi-207-9177,-5.61,-1.55,41,1.87,5,30;31;41;42;53,CHECK
8651,upper,R2C3,Bi-207-8779,-3.55,-6.17,43,1.0,6,32;33;43;44;54;55,
8651,lower,R1C2,Cd-109-9178,6.62,2.58,1010,0.13,5,1009;1010;1011;1018;1019,
8651,lower,R1C3,Bi-207-8890,6.54,-3.86,1013,1.28,5,1012;1013;1014;1021;1022,
8651,lower,R2C1,Bi-207-9176,1.8,6.46,1048,1.12,5,1036;1037;1047;1048;1060,
8651,lower,R2C2,Bi-207-9177,1.79,-0.29,1040,0.55,4,1039;1040;1051;1052,
8651,lower,R2C3,Bi-207-8779,1.85,-6.7,1055,1.27,6,1043;1044;1054;1055;1056;1067,
8652,upper,R1C2,Cd-109-9178,4.42,4.21,96,0.68,4,96;97;105;106,
8652,upper,R1C3,Bi-207-8890,5.55,-1.82,99,2.04,4,89;99;100;109,CHECK
8652,upper,R2C1,Bi-207-9176,-1.2,7.61,47,1.07,4,47;48;59;60,
8652,upper,R2C2,Bi-207-9177,-0.32,1.46,63,0.51,5,50;51;63;64;76,
8652,upper,R2C3,Bi-207-8779,1.74,-3.16,77,2.5,3,65;77;78,CHECK
8652,lower,R1C2,Cd-109-9178,5.08,3.5,1018,0.17,7,1009;1010;1017;1018;1019;1027;1028,
8652,lower,R1C3,Bi-207-8890,5.0,-2.93,1031,1.29,5,1021;1022;1030;1031;1032,
8652,lower,R2C1,Bi-207-9176,0.26,7.38,1060,1.11,7,1047;1048;1059;1060;1061;1072;1073,
8652,lower,R2C2,Bi-207-9177,0.25,0.63,1064,1.18,5,1051;1052;1063;1064;1076,
8652,lower,R2C3,Bi-207-8779,0.31,-5.77,1067,1.21,5,1055;1067;1068;1079;1080,
8653,upper,R1C2,Cd-109-9178,2.18,4.52,85,0.68,4,74;85;86;96,
8653,upper,R1C3,Bi-207-8890,3.32,-1.51,89,1.09,6,77;78;89;90;99;100,
8653,upper,R2C1,Bi-207-9176,-3.43,7.92,47,1.19,5,35;36;47;48;60,
8653,upper,R2C2,Bi-207-9177,-2.55,1.77,51,0.96,5,39;40;50;51;52,
8653,upper,R2C3,Bi-207-8779,-0.49,-2.85,54,2.29,4,42;43;54;55,CHECK
8653,lower,R1C2,Cd-109-9178,2.27,3.56,1038,0.1,7,1027;1028;1037;1038;1039;1049;1050,
8653,lower,R1C3,Bi-207-8890,2.18,-2.87,1042,0.59,4,1031;1041;1042;1053,
8653,lower,R2C1,Bi-207-9176,-2.55,7.44,1084,1.3,4,1072;1073;1084;1085,
8653,lower,R2C2,Bi-207-9177,-2.57,0.69,1076,0.36,4,1076;1077;1087;1088,
8653,lower,R2C3,Bi-207-8779,-2.51,-5.71,1091,1.35,5,1079;1080;1091;1092;1102,
8654,upper,R1C2,Cd-109-9178,-0.63,4.62,61,0.59,5,49;61;62;73;74,
8654,upper,R1C3,Bi-207-8890,0.51,-1.41,65,1.3,5,53;65;66;77;78,
8654,upper,R2C1,Bi-207-9176,-6.24,8.02,26,2.19,4,26;27;36;37,CHECK
8654,upper,R2C2,Bi-207-9177,-5.36,1.88,29,1.02,7,19;20;28;29;30;39;40,
8654,upper,R2C3,Bi-207-8779,-3.3,-2.75,43,2.49,5,32;33;42;43;44,CHECK
8654,lower,R1C2,Cd-109-9178,-0.5,3.53,1062,0.26,5,1049;1050;1061;1062;1063,
8654,lower,R1C3,Bi-207-8890,-0.58,-2.91,1053,1.37,5,1052;1053;1054;1065;1066,
8654,lower,R2C1,Bi-207-9176,-5.32,7.41,1095,1.35,3,1084;1094;1095,
8654,lower,R2C2,Bi-207-9177,-5.33,0.66,1098,0.22,6,1087;1088;1098;1099;1107;1108,
8654,lower,R2C3,Bi-207-8779,-5.27,-5.74,1102,0.32,5,1091;1101;1102;1111;1112,
8655,upper,R1C2,Cd-109-9178,-2.26,4.11,49,0.22,7,37;38;48;49;50;61;62,
8655,upper,R1C3,Bi-207-8890,-1.12,-1.91,53,1.32,7,41;42;52;53;54;65;66,
8655,upper,R2C1,Bi-207-9176,-7.87,7.51,17,2.57,4,9;17;18;27,CHECK
8655,upper,R2C2,Bi-207-9177,-6.99,1.37,11,1.35,5,10;11;12;19;20,
8655,upper,R2C3,Bi-207-8779,-4.93,-3.26,43,2.27,5,32;33;43;44;55,CHECK
8655,lower,R1C2,Cd-109-9178,-2.21,3.58,1074,0.75,4,1062;1074;1075;1086,
8655,lower,R1C3,Bi-207-8890,-2.29,-2.85,1078,0.26,7,1065;1066;1077;1078;1079;1089;1090,
8655,lower,R2C1,Bi-207-9176,-7.03,7.46,1105,2.28,3,1096;1105;1106,CHECK
